min_size,max_size,agg_count,total_transmissions,unstable_transmissions,num_full_mutations,maternal_rpt_change_min,maternal_rpt_change_max,median_maternal_rpt_change
45,49,0,5,4,0,1,5,1.5
45,49,1,32,6,0,1,2,1
45,49,2,57,3,0,-1,2,1
45,49,3,3,0,0,0,0,0
45,49,4,1,0,0,0,0,0
50,54,0,9,9,0,1,31,4
50,54,1,49,11,0,-20,4,1
50,54,2,41,5,0,1,4,2
50,54,3,2,0,0,0,0,0
50,54,4,1,0,0,0,0,0
55,59,0,30,29,1,1,55,9.5
55,59,1,95,50,0,-2,8,2
55,59,2,64,6,0,-2,1,1
55,59,3,8,0,0,0,0,0
60,64,0,37,36,2,4,93,16
60,64,1,39,33,0,-4,10,4
60,64,2,38,20,0,-17,24,1
60,64,3,1,1,0,2,2,2
65,69,0,35,35,6,-9,68,20
65,69,1,28,25,0,2,48,8
65,69,2,20,14,0,1,4,1.5
65,69,3,2,0,0,0,0,0
70,74,0,29,29,15,-11,70,35.5
70,74,1,41,40,3,-17,63,9
70,74,2,14,13,0,1,14,3
75,79,0,43,43,32,-44,116,37
75,79,1,42,42,14,-17,93,21.5
75,79,2,14,14,1,-2,96,7
80,84,0,31,31,27,-9,96,6.5
80,84,1,45,45,30,-10,93,36
80,84,2,20,20,3,4,83,15.5
85,90,0,8,8,7,59,59,59
85,90,1,30,30,25,30,87,74
85,90,2,4,4,2,10,13,11.5
